n	Filename	Lead	Year	Expt	Site	Temp	PlantType	Type	OI	Sample	Sample2	nomatch	DNLeaf	DN	Tissue	SampleDate_text	SampleDate_format	Date	RunDate_text	RunDate	GCOrder	Drop	Notes
41	Air3July27_09022018.qgd	Air3July27	2018	otc	bb		agg	Air	air	3	Air3		day	day	air	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
43	Air4July27_09022018.qgd	Air4July27	2018	otc	bb		agg	Air	air	4	Air4		day	day	air	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
76	CWbb14renamedJuly27_09022018.qgd	CWbb14renamedJuly27	2018	otc	bb		agg	bb	out	14	14		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
77	CWbb15renamedJuly27_09022018.qgd	CWbb15renamedJuly27	2018	otc	bb		agg	bb	out	15	15		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
73	CWbb10July27_09012018.qgd	CWbb10July27	2018	otc	bb		agg	bb	out	10	10		day	day	flower	July27	Jul 27 2018	2018-07-27	9012018	2018-09-01			
74	CWbb123July27_09022018.qgd	CWbb123July27	2018	otc	bb		agg	bb	out	123	123		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
75	CWbb13July27renamed_09022018.qgd	CWbb13July27renamed	2018	otc	bb		agg	bb	out	13	13		day	day	flower	July27renamed	Jul 27 2018	2018-07-27	9022018	2018-09-02			
78	CWbb2July27_09022018.qgd	CWbb2July27	2018	otc	bb		agg	bb	out	2	2		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
81	CWbb3July27_09022018.qgd	CWbb3July27	2018	otc	bb		agg	bb	out	3	3		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
79	CWbb348July27_09022018.qgd	CWbb348July27	2018	otc	bb		agg	bb	out	348	348		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
80	CWbb353July27_09022018.qgd	CWbb353July27	2018	otc	bb		agg	bb	out	353	353		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
82	CWbb4July27_09022018.qgd	CWbb4July27	2018	otc	bb		agg	bb	out	4	4		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
83	CWbb5July27_09022018.qgd	CWbb5July27	2018	otc	bb		agg	bb	out	5	5		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
84	CWbb6July27_09022018.qgd	CWbb6July27	2018	otc	bb		agg	bb	out	6	6		day	day	flower	July27	Jul 27 2018	2018-07-27	9022018	2018-09-02			
85	CWbb9July27_09012018.qgd	CWbb9July27	2018	otc	bb		agg	bb	out	9	9		day	day	flower	July27	Jul 27 2018	2018-07-27	9012018	2018-09-01			
212	Air1_190731_872019_06.qgd	Air1	2019	otc	GNA		agg	Air	air	Air1	Air1		day	day	air	190731	07-31-19	2019-07-31	872019	2019-08-07	6		
298	OTC_X1_190731_872019_16.qgd	OTC_X1	2019	otc	GNA		agg	OTC	in	X1	X1		day	day	flower	190731	07-31-19	2019-07-31	872019	2019-08-07	16		
299	OTC_X2_1907231_882019_20.qgd	OTC	2019	otc	GNA		agg	OTC	in	X2	X2		day	day	flower	1907231	07-23-19	2019-07-31	882019	2019-08-08	20		redo?
300	OTC_X2_190731_872019_17.qgd	OTC_X2	2019	otc	GNA		agg	OTC	in	X2	X2		day	day	flower	190731	07-31-19	2019-07-31	872019	2019-08-07	17	1	redone?
303	OTC_Y1_190731_872019_09.qgd	OTC_Y1	2019	otc	GNA		agg	OTC	in	Y1	Y1		day	day	flower	190731	07-31-19	2019-07-31	872019	2019-08-07	9		
305	OTC_Y2_190731_872019_12.qgd	OTC_Y2	2019	otc	GNA		agg	OTC	in	Y2	Y2		day	day	flower	190731	07-31-19	2019-07-31	872019	2019-08-07	12		
307	OTC_Z1_190731_872019_08.qgd	OTC_Z1	2019	otc	GNA		agg	OTC	in	Z1	Z1		day	day	flower	190731	07-31-19	2019-07-31	872019	2019-08-07	8		
309	OTC_Z2_190731_872019_11.qgd	OTC_Z2	2019	otc	GNA		agg	OTC	in	Z2	Z2		day	day	flower	190731	07-31-19	2019-07-31	872019	2019-08-07	11		
311	OTC_Z3_190731_872019_14.qgd	OTC_Z3	2019	otc	GNA		agg	OTC	in	Z3	Z3		day	day	flower	190731	07-31-19	2019-07-31	872019	2019-08-07	14		
312	OTC_Z3_190805_8102019_24.qgd	OTC	2019	otc	GNA		agg	OTC	in	Z3	Z3		day	day	flower	190805	08-05-19	2019-08-05	8102019	2019-08-10	24	1	redone. changed Date 7/31 to 8/5
