n	Filename	Lead	Year	Expt	Site	Temp	PlantType	Type	OI	Sample	Sample2	nomatch	DNLeaf	DN	Tissue	SampleDate_text	SampleDate_format	Date	RunDate_text	RunDate	GCOrder	Drop	Notes
187	A38_day_190725_862019_03.qgd	A38	2019	perc			agg	A		A38	A38		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	3		
189	A38redo_day_190725_872019_03.qgd	A38redo	2019	perc			agg	A		A38redo	A38redo	nm	day	day	flower	190725	07-25-19	2019-07-25	872019	2019-08-07	3		
190	A54_day_190725_862019_07.qgd	A54	2019	perc			agg	A		A54	A54		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	7		
196	A78_day_190725_862019_09.qgd	A78	2019	perc			agg	A		A78	A78		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	9		
198	A79_day_190725_862019_09.qgd	A79	2019	perc			agg	A		A79	A79		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	9		
203	A91_day_190725_862019_08.qgd	A91	2019	perc			agg	A		A91	A91		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	8		
207	A92_day_190725_862019_12.qgd	A92	2019	perc			agg	A		A92	A92		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	12		
209	A95_day_190725_862019_12.qgd	A95	2019	perc			agg	A		A95	A95		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	12		
194	A76_leaf_190725_882019_06.qgd	A76	2019	perc			agg	A		A76	A76		leaf	day	leaf	190725	07-25-19	2019-07-29	882019	2019-08-08	6		
204	A91_leaf_190725_882019_02.qgd	A91	2019	perc			agg	A		A91	A91	nm	leaf	day	leaf	190725	07-25-19	2019-07-25	882019	2019-08-08	2		
210	A95_leaf_190725_882019_04.qgd	A95	2019	perc			agg	A		A95	A95		leaf	day	leaf	190725	07-25-19	2019-07-29	882019	2019-08-08	4		
359	T119_day_190725_862019_10.qgd	T119	2019	perc			ten	T		T119	T119		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	10		
361	T128_day_190725_862019_02.qgd	T128	2019	perc			ten	T		T128	T128		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	2		
363	T139_day_190725_862019_06.qgd	T139	2019	perc			ten	T		T139	T139		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	6		
365	T141_day_190725_862019_07.qgd	T141	2019	perc			ten	T		T141	T141		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	7		
369	T144_day_190725_862019_11.qgd	T144	2019	perc			ten	T		T144	T144		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	11		
371	T164_day_190725_862019_05.qgd	T164	2019	perc			ten	T		T164	T164		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	5		
374	T173_day_190725_862019_04.qgd	T173	2019	perc			ten	T		T173	T173		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	4		
377	T176_day_190725_862019_05.qgd	T176	2019	perc			ten	T		T176	T176		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	5		
379	T188_day_190725_862019_10.qgd	T188	2019	perc			ten	T		T188	T118		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	10		
382	T193_day_190725_862019_04.qgd	T193	2019	perc			ten	T		T193	T193		day	day	flower	190725	07-25-19	2019-07-25	862019	2019-08-06	4		
375	T173_leaf_190725_882019_03.qgd	T173	2019	perc			ten	T		T173	T173		leaf	day	leaf	190725	07-25-19	2019-07-29	882019	2019-08-08	3		
380	T188_leaf_190725_882019_05.qgd	T188	2019	perc			ten	T		T188	T188		leaf	day	leaf	190725	07-25-19	2019-07-29	882019	2019-08-08	5		
223	AirC5_day_190729_872019_20.qgd	AirC5	2019	perc		cool		Air		AirC5	AirC5		day	day	air	190729	07-29-19	2019-07-25	872019	2019-08-07	20		
231	AirW8_190729_882019_10.qgd	AirW8	2019	perc		warm		Air		AirW8	AirW8			day	air	190729	07-29-19	2019-07-29	882019	2019-08-08	10		
182	A15_day_190729_872019_19.qgd	A15	2019	perc			agg	A		A15	A15		day	day	flower	190729	07-29-19	2019-07-25	872019	2019-08-07	19		
193	A76_day_190729_872019_02.qgd	A76	2019	perc			agg	A		A76	A76		day	day	flower	190729	07-29-19	2019-07-25	872019	2019-08-07	2		
200	A80_day_190729_872019_18.qgd	A80	2019	perc			agg	A		A80	A80		day	day	flower	190729	07-29-19	2019-07-29	872019	2019-08-07	18		
201	A80_leaf_190729_882019_09.qgd	A80	2019	perc			agg	A		A80	A80		leaf	day	leaf	190729	07-29-19	2019-07-29	882019	2019-08-08	9		
205	A91_leaf_190729_882019_11.qgd	A91	2019	perc			agg	A		A91	A91		leaf	day	leaf	190729	07-29-19	2019-07-29	882019	2019-08-08	11		
385	unreadable40_leaf_190729_882019_08.qgd	unreadable40	2019	perc			ten	T		T140	T140		leaf	day	leaf	190729	07-29-19	2019-07-29	882019	2019-08-08	8		
366	T141_leaf_190729_882019_12.qgd	T141	2019	perc			ten	T		T141	T141		leaf	day	leaf	190729	07-29-19	2019-07-29	882019	2019-08-08	12		
384	T38_leaf_190729_882019_07.qgd	T38	2019	perc			agg	A		T38	A38		leaf	day	leaf	190729	07-29-19	2019-07-29	882019	2019-08-08	7		
224	AirCN3_night_190729_872019_05.qgd	AirCN3	2019	perc		cool		Air		AirCN3	AirCN3		night	night	air	190729	07-29-19	2019-07-29	872019	2019-08-07	5		
184	A15_night_190729_872019_03.qgd	A15	2019	perc			agg	A		A15	A15		night	night	flower	190729	07-29-19	2019-07-29	872019	2019-08-07	3		
195	A76_night_190729_872019_04.qgd	A76	2019	perc			agg	A		A76	A76		night	night	flower	190729	07-29-19	2019-07-29	872019	2019-08-07	4		
202	A80_night_190729_872019_02.qgd	A80	2019	perc			agg	A		A80	A80		night	night	flower	190729	07-29-19	2019-07-29	872019	2019-08-07	2		
372	T164_leaf_190731_882019_18.qgd	T164	2019	perc			ten	T		T164	T164		leaf	day	leaf	190731	07-31-19	2019-07-31	882019	2019-08-08	18		
341	SCH_V12_8132019_16.qgd	SCH	2019					Schiedea		V12	V12	nm							8132019	2019-08-13	16		
342	SCH_V30_8132019_17.qgd	SCH	2019					Schiedea		V30	V30	nm							8132019	2019-08-13	17		
343	SCH_V33_8132019_18.qgd	SCH	2019					Schiedea		V33	V33	nm							8132019	2019-08-13	18		
344	SCH_V5_8132019_09.qgd	SCH	2019					Schiedea		V5	V5	nm							8132019	2019-08-13	9		
345	SCH_V50_8132019_19.qgd	SCH	2019					Schiedea		V50	V50	nm							8132019	2019-08-13	19		
346	SCH_V51_8132019_20.qgd	SCH	2019					Schiedea		V51	V51	nm							8132019	2019-08-13	20		
347	SCH_V55_8132019_22.qgd	SCH	2019					Schiedea		V55	V55	nm							8132019	2019-08-13	22		
348	SCH_V57_8132019_23.qgd	SCH	2019					Schiedea		V57	V57	nm							8132019	2019-08-13	23		
349	SCH_V64_8132019_24.qgd	SCH	2019					Schiedea		V64	V64	nm							8132019	2019-08-13	24		
350	SCH_V66_8132019_25.qgd	SCH	2019					Schiedea		V66	V66	nm							8132019	2019-08-13	25		
351	SCH_V72_8132019_21.qgd	SCH	2019					Schiedea		V72	V72	nm							8132019	2019-08-13	21		
352	SCH_V74_8132019_26.qgd	SCH	2019					Schiedea		V74	V74	nm							8132019	2019-08-13	26		
353	SCH_V79_8132019_12.qgd	SCH	2019					Schiedea		V79	V79	nm							8132019	2019-08-13	12		
354	SCH_V8_8132019_10.qgd	SCH	2019					Schiedea		V8	V8	nm							8132019	2019-08-13	10		
355	SCH_V87_8132019_13.qgd	SCH	2019					Schiedea		V87	V87	nm							8132019	2019-08-13	13		
356	SCH_V9_8132019_11.qgd	SCH	2019					Schiedea		V9	V9	nm							8132019	2019-08-13	11		
357	SCH_V90_8132019_14.qgd	SCH	2019					Schiedea		V90	V90	nm							8132019	2019-08-13	14		
358	SCH_V99_8132019_15.qgd	SCH	2019					Schiedea		V99	V99	nm							8132019	2019-08-13	15		
63	Bake_08292018.qgd	Bake	2018					Bake				nm							8292018	2018-08-29			
64	Bake_09012018.qgd	Bake	2018					Bake				nm							9012018	2018-09-01			
65	BakerenamedJuly27_09022018.qgd	BakerenamedJuly27	2018					Bake				nm				July27			9022018	2018-09-02			
66	Blank_08302018.qgd	Blank	2018					Blank				nm							8302018	2018-08-30			
67	Blank_08312018.qgd	Blank	2018					Blank				nm							8312018	2018-08-31			
68	Blank_09012018.qgd	Blank	2018					Blank				nm							9012018	2018-09-01			
69	Blank_09022018.qgd	Blank	2018					Blank				nm							9022018	2018-09-02			
70	Blank2_08292018.qgd	Blank2	2018					Blank				nm							8292018	2018-08-29			
71	Blank2_08302018.qgd	Blank2	2018					Blank				nm							8302018	2018-08-30			
72	Blank2_08312018.qgd	Blank2	2018					Blank				nm							8312018	2018-08-31			
232	Blank1_8102019_01.qgd	Blank1	2019					Blank				nm							8102019	2019-08-10	1		
233	Blank1_862019_01.qgd	Blank1	2019					Blank				nm							862019	2019-08-06	1		
234	Blank1_872019_01.qgd	Blank1	2019					Blank				nm							872019	2019-08-07	1		
235	Blank1_872019_02.qgd	Blank1	2019					Blank				nm							872019	2019-08-07	2		
236	Blank1_882019_01.qgd	Blank1	2019					Blank				nm							882019	2019-08-08	1		
237	Blank1_882019_02.qgd	Blank1	2019					Blank				nm							882019	2019-08-08	2		
238	Blank1_892019_01.qgd	Blank1	2019					Blank				nm							892019	2019-08-09	1		
239	Blank1_892019_02.qgd	Blank1	2019					Blank				nm							892019	2019-08-09	2		
240	Blank2_8132019_08.qgd	Blank2	2019					Blank				nm							8132019	2019-08-13	8		
241	Blank2_862019_01.qgd	Blank2	2019					Blank				nm							862019	2019-08-06	1		
