class	name	RI	CAS	ten.GR.day.mean	ten.GR.day.se	ten.GR.night.mean	ten.GR.night.se	agg.GR.day.mean	agg.GR.day.se	agg.GR.night.mean	agg.GR.night.se	ten.PG.day.mean	ten.PG.day.se	ten.PG.night.mean	ten.PG.night.se	agg.PG.day.mean	agg.PG.day.se	agg.PG.night.mean	agg.PG.night.se	hyb.PG.day.mean	hyb.PG.day.se	hyb.PG.night.mean	hyb.PG.night.se
benzenoid	Benzyl alcohol	1899	100-51-6	7.27	4.51	9.51	4.08	2.59	0.91	10.24	3.57	5.21	1.30	4.27	0.73	4.11	0.69	1.53	0.48	5.35	0.95	5.17	1.05
benzenoid	Phenylethyl alcohol	1938	60-12-8	1.63	0.56	1.53	0.45	0.09	0.06	0.99	0.39	0.15	0.11	0.68	0.31	1.47	0.45	0.09	0.09	1.19	0.15	0.69	0.20
benzenoid	p-Anisaldehyde	2058	123-11-5	0.27	0.12	1.77	0.66	0.46	0.29	0.83	0.35	0.26	0.07	0.13	0.07	0.00	0.00	0.00	0.00	0.73	0.38	0.00	0.00
monoterpene	α-Pinene	1072	7785-70-8	457.67	239.54	530.81	199.98	236.80	64.93	788.28	242.99	593.74	255.47	557.85	146.38	469.87	133.33	1472.54	246.15	252.06	71.93	170.81	37.74
monoterpene	β-Pinene	1108	127-91-3	8.03	4.03	6.17	2.51	3.35	1.40	9.65	5.66	12.49	6.17	8.53	2.98	14.27	6.57	8.22	2.00	3.65	1.81	3.87	1.61
monoterpene	β-Myrcene	1156	123-35-3	60.91	32.08	63.52	15.24	73.10	22.49	124.10	40.97	32.68	18.18	24.93	4.97	63.36	21.94	54.39	10.44	16.24	8.32	16.57	4.66
monoterpene	(Z)-β-Ocimene	1257	3338-55-4	0.00	0.00	1.50	0.96	0.00	0.00	0.00	0.00	0.00	0.00	7.74	6.03	0.00	0.00	3.07	2.22	0.00	0.00	1.89	0.90
monoterpene	(E)-β-Ocimene	1275	3779-61-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	58.66	50.89	0.00	0.00	40.02	16.13	0.00	0.00	15.90	8.80
monoterpene	m/z 43,57,41,121,136,93,105,55 (MT)	1322		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	48.87	31.31	2.20	2.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
monoterpene	(E)-Sabinene hydrate	1476	15826-82-1	2.28	1.11	1.73	0.50	3.89	1.65	3.25	0.93	0.00	0.00	0.30	0.30	0.00	0.00	0.00	0.00	0.24	0.24	0.54	0.39
monoterpene	Camphor	1543	76-22-2	0.24	0.24	1.60	1.13	0.33	0.26	1.23	0.27	2.84	1.14	1.18	0.55	0.01	0.00	0.65	0.15	2.17	1.74	0.24	0.08
monoterpene	β-Linalool	1556	78-70-6	45.14	23.97	41.22	14.90	31.95	20.52	50.70	17.59	24.14	9.21	5.91	0.72	18.53	9.31	10.24	4.51	21.19	5.74	11.94	2.81
monoterpene	Pinocarvone	1571	30460-92-5	0.89	0.44	0.45	0.33	0.11	0.11	1.43	0.83	0.00	0.00	0.42	0.28	0.00	0.00	2.11	0.87	0.76	0.51	0.00	0.00
monoterpene	Menthol	1660	89-78-1	2.68	2.04	1.22	0.32	3.17	1.61	4.74	1.55	2.20	0.98	0.68	0.26	1.07	0.64	0.05	0.05	1.18	0.38	1.75	0.26
monoterpene	Myrtenal	1668	564-94-3	0.77	0.52	0.47	0.32	0.00	0.00	0.96	0.58	0.25	0.25	0.00	0.00	0.60	0.29	1.03	0.24	0.13	0.13	0.00	0.00
