Filename,Batch,Maxfield,Year,Filename2,RunDate,Seq,Notes
GNA_128_210730_7312021_06.qgd,Ihyb_Corydalis_210730.txt,,2021,,,6,
GNA_129_210730_7312021_07.qgd,Ihyb_Corydalis_210730.txt,,2021,,,7,
GNA_130_210730_7312021_08.qgd,Ihyb_Corydalis_210730.txt,,2021,,,8,
GNA_124_210730_7312021_09.qgd,Ihyb_Corydalis_210730.txt,,2021,,,9,
GNA_122_210730_7312021_10.qgd,Ihyb_Corydalis_210730.txt,,2021,,,10,
GNA_125_210730_7312021_11.qgd,Ihyb_Corydalis_210730.txt,,2021,,,11,
GNA_141_210730_7312021_12.qgd,Ihyb_Corydalis_210730.txt,,2021,,,12,
GNA_137_210730_7312021_13.qgd,Ihyb_Corydalis_210730.txt,,2021,,,13,
GNA_138_210730_7312021_14.qgd,Ihyb_Corydalis_210730.txt,,2021,,,14,
GNA_140_210730_7312021_15.qgd,Ihyb_Corydalis_210730.txt,,2021,,,15,
GNA_139_210730_7312021_16.qgd,Ihyb_Corydalis_210730.txt,,2021,,,16,
GNA_135_210730_7312021_17.qgd,Ihyb_Corydalis_210730.txt,,2021,,,17,
GNA_136_210730_7312021_18.qgd,Ihyb_Corydalis_210730.txt,,2021,,,18,
GNA_132_210730_7312021_19.qgd,Ihyb_Corydalis_210730.txt,,2021,,,19,
GNA_133_210730_7312021_20.qgd,Ihyb_Corydalis_210730.txt,,2021,,,20,
GNA_101_210729_812021_02.qgd,Ihyb_Corydalis_210731.txt,,2021,,,2,
GNA_102_210729_812021_03.qgd,Ihyb_Corydalis_210731.txt,,2021,,,3,
GNA_103_210729_812021_04.qgd,Ihyb_Corydalis_210731.txt,,2021,,,4,
GNA_104_210729_812021_05.qgd,Ihyb_Corydalis_210731.txt,,2021,,,5,
GNA_105_210729_812021_06.qgd,Ihyb_Corydalis_210731.txt,,2021,,,6,
GNA_106_210729_812021_07.qgd,Ihyb_Corydalis_210731.txt,,2021,,,7,
GNA_107_210729_812021_08.qgd,Ihyb_Corydalis_210731.txt,,2021,,,8,
GNA_108_210729_812021_09.qgd,Ihyb_Corydalis_210731.txt,,2021,,,9,
GNA_109_210729_812021_10.qgd,Ihyb_Corydalis_210731.txt,,2021,,,10,
GNA_110_210729_812021_11.qgd,Ihyb_Corydalis_210731.txt,,2021,,,11,
GNA_111_210729_812021_12.qgd,Ihyb_Corydalis_210731.txt,,2021,,,12,
GNA_112_210729_812021_13.qgd,Ihyb_Corydalis_210731.txt,,2021,,,13,
GNA_113_210729_812021_14.qgd,Ihyb_Corydalis_210731.txt,,2021,,,14,
GNA_114_210729_812021_15.qgd,Ihyb_Corydalis_210731.txt,,2021,,,15,
GNA_115_210729_812021_16.qgd,Ihyb_Corydalis_210731.txt,,2021,,,16,
GNA_116_210729_812021_17.qgd,Ihyb_Corydalis_210731.txt,,2021,,,17,
GNA_117_210729_812021_18.qgd,Ihyb_Corydalis_210731.txt,,2021,,,18,
GNA_118_210729_812021_19.qgd,Ihyb_Corydalis_210731.txt,,2021,,,19,
GNA_119_210729_812021_20.qgd,Ihyb_Corydalis_210731.txt,,2021,,,20,
GNA_1_210716_7182021_13.qgd,Ihyb_VF_210718.txt,,2021,,,13,
GNA_2_210716_7182021_14.qgd,Ihyb_VF_210718.txt,,2021,,,14,
GNA_3_210716_7182021_15.qgd,Ihyb_VF_210718.txt,,2021,,,15,
GNA_5_210716_7182021_16.qgd,Ihyb_VF_210718.txt,,2021,,,16,
GNA_4__210716_7182021_18.qgd,Ihyb_VF_210718.txt,,2021,,,18,
GNA_6__210716_7182021_19.qgd,Ihyb_VF_210718.txt,,2021,,,19,
GNA_7_210716_7192021_02.qgd,Ihyb_VF_210719.txt,,2021,,,2,
GNA_9_210716_7192021_04.qgd,Ihyb_VF_210719.txt,,2021,,,4,
GNA_8_210716_7192021_05.qgd,Ihyb_VF_210719.txt,,2021,,,5,
GNA_11_210716_7192021_06.qgd,Ihyb_VF_210719.txt,,2021,,,6,
GNA_12_210716_7192021_07.qgd,Ihyb_VF_210719.txt,,2021,,,7,
GNA_13_210716_7192021_08.qgd,Ihyb_VF_210719.txt,,2021,,,8,
GNA_14_210716_7192021_09.qgd,Ihyb_VF_210719.txt,,2021,,,9,
GNA_10_210716_7192021_10.qgd,Ihyb_VF_210719.txt,,2021,,,10,
GNA_15_210716_7192021_11.qgd,Ihyb_VF_210719.txt,,2021,,,11,
GNA_16_210716_7192021_12.qgd,Ihyb_VF_210719.txt,,2021,,,12,
GNA_33_210716_7192021_13.qgd,Ihyb_VF_210719.txt,,2021,,,13,
GNA_32_210716_7192021_14.qgd,Ihyb_VF_210719.txt,,2021,,,14,
GNA_34_210716_7192021_15.qgd,Ihyb_VF_210719.txt,,2021,,,15,
GNA_36_210716_7192021_16.qgd,Ihyb_VF_210719.txt,,2021,,,16,
GNA_35_210716_7192021_17.qgd,Ihyb_VF_210719.txt,,2021,,,17,
GNA_29_210716_7192021_18.qgd,Ihyb_VF_210719.txt,,2021,,,18,
GNA_24_210716_7192021_19.qgd,Ihyb_VF_210719.txt,,2021,,,19,
GNA_31_210716_7192021_20.qgd,Ihyb_VF_210719.txt,,2021,,,20,
