observer,date,vial,plot,subplot,plant,plantid,bag,pump,end,flowers,buds,pump_id,VWC,temp,notes
CW,2021-07-09,21,4,C,957,4C957,10:18,10:48,11:03,1,0,DRC7,7.1,control,
DH,2021-07-09,3,6,C,913,6C913,09:06,09:36,09:51,1,0,DRC6,4.5,control,
DH,2021-07-09,1,6,C,95,6C95,09:54,10:27,10:42,1,0,DRC8,4.9,OTC,
DH,2021-07-09,5,6,C,81,6C81,09:57,10:29,10:44,1,3,DRC4,4.3,OTC,
DH,2021-07-09,2,4,B,953,4B953,10:06,10:38,10:53,1,0,DRC6,3.4,OTC,
DH,2021-07-09,7,6,C,air,6Cair,10:09,10:13,10:28,,,DRC6,,,
JP,2021-07-09,37,4,B,954,4B954,08:54,09:27,09:42,1,0,DRC5,4.4,control,
JP,2021-07-09,33,4,B,air,4Bair,09:01,10:41,10:58,,,DRC9,,,
JP,2021-07-09,35,4,B,173,4B173,09:05,09:37,09:52,1,0,DRC9,3.9,OTC,
JP,2021-07-09,34,4,B,956,4B956,09:31,10:06,10:22,1,0,DRC5,4.6,control,
JP,2021-07-09,32,4,B,171,4B171,09:33,10:03,10:18,1,0,DRC9,5.7,OTC,
JP,2021-07-09,29,4,B,955,4B955,09:52,10:22,10:37,1,0,DRC9,5.6,control,
JP,2021-07-09,30,4,B,190,4B190,09:56,10:26,10:42,1,0,DRC5,4.2,control,
KW,2021-07-09,17,5,D,910,5D910,09:03,09:33,09:48,1,0,DRC10,3.4,OTC,
KW,2021-07-09,14,4,C,627,4C627,09:11,09:41,09:56,1,1,DRC3,4.5,control,
KW,2021-07-09,10,4,C,106,4C106,09:39,10:09,10:24,1,0,DRC10,10.1,OTC,
KW,2021-07-09,18,4,C,108,4C108,09:42,10:12,10:27,1,0,DRC3,5.3,OTC,
KW,2021-07-09,13,4,B,203,4B203,10:02,10:32,10:47,1,0,DRC10,4.7,control,
KW,2021-07-09,16,4,B,204,4B204,10:10,10:40,10:57,1,0,DRC3,4.1,control,Trap fell out for about 2 minutes
KW,2021-07-09,12,4,B,168,4B168,10:23,10:53,11:08,1,0,DRC10,3.2,OTC,
KW,2021-07-09,15,5,D,air,5Dair,10:36,11:10,11:25,,,DRC10,,,
JP,2021-07-23,6,2,A,902,2A902,08:43,09:13,09:28,1,1,JMP3,5.5,OTC,
JP,2021-07-23,7,2,B,93,2B93,08:46,09:16,09:31,1,0,JMP2,7.3,control,
JP,2021-07-23,8,2,B,904,2B904,08:48,09:18,09:33,1,0,CWU1,5.7,OTC,
JP,2021-07-23,9,3,B,906,3B906,08:51,09:21,09:36,1,0,DRC9,5.2,OTC,
JP,2021-07-23,10,3,B,821,3B821,08:53,09:23,09:38,1,0,DRC10,5.4,OTC,
JP,2021-07-23,11,3,D,858,3D858,08:56,09:26,09:43,1,1,CWU2,9.5,control,
JP,2021-07-23,12,3,D,888,3D888,09:36,10:06,10:21,1,0,DRC9,7.4,OTC,
