file,year,site,n1,n2,n3,owner,id,plotid,temp,serial,plant_near,notes
2021/Maxfield/Hobo#4-SN10369048.csv,2021,Maxfield,Hobo#4,SN10369048,,UR,4,5D,OTC,10369048,910,
2021/Maxfield/Hobo#8-SN10542007.csv,2021,Maxfield,Hobo#8,SN10542007,,UR,8,3D,OTC,10542007,894,
2021/Maxfield/Hobo13.csv,2021,Maxfield,Hobo13,,,UR,13,2B,OTC,10542014,184,
2021/Maxfield/Hobo21-SN10793185.csv,2021,Maxfield,Hobo21,SN10793185,,UR,21,1B,OTC,10793185,684,
2021/Maxfield/Hobo29-SN10793181.csv,2021,Maxfield,Hobo29,SN10793181,,UR,29,6C,OTC,10793181,81,
2021/Maxfield/HOBO31-10793176.csv,2021,Maxfield,HOBO31,10793176,,UR,31,1B,control,10793176,666,
2021/Maxfield/HOBO32-10793182.csv,2021,Maxfield,HOBO32,10793182,,UR,32,1C,OTC,10793182,901,
2021/Maxfield/RMBL_hobo17.csv,2021,Maxfield,RMBL_hobo17,,,RMBL,17,5B,control,,907,"drop, no check by downloaded, last record 2021-07-19"
2021/SC/Hobo14-chamberIin.csv,2021,SC,Hobo14,chamberIin,,UR,14,I,OTC,,,
2021/SC/Hobo2-ChamberHin.csv,2021,SC,Hobo2,ChamberHin,,UR,2,H,OTC,10369061,,
2021/SC/RMBL11-chamberIout.csv,2021,SC,RMBL11,chamberIout,,RMBL,11,I,control,,,
2021/SC/RMBL12-chamberBin.csv,2021,SC,RMBL12,chamberBin,,RMBL,12,B,OTC,,,
2021/SC/RMBL15-chamberEin.csv,2021,SC,RMBL15,chamberEin,,RMBL,15,E,OTC,,,
2021/SC/RMBL2-chamberBout.csv,2021,SC,RMBL2,chamberBout,,RMBL,2,B,control,,,
2021/SC/RMBL5-chamberCout.csv,2021,SC,RMBL5,chamberCout,,RMBL,5,C,control,,,
2021/SC/RMBL6-chamberHout.csv,2021,SC,RMBL6,chamberHout,,RMBL,6,H,control,,,
2021/SC/RMBL7-chamberFGout.csv,2021,SC,RMBL7,chamberFGout,,RMBL,7,F,control,,,
2021/SC/UR2-chamberGin.csv,2021,SC,UR2,chamberGin,,UR,2,G,OTC,10369061,,
2021/SC/UR3-chamberDin.csv,2021,SC,UR3,chamberDin,,UR,3,D,OTC,10369065,,
2021/SC/UR4-chamberAout.csv,2021,SC,UR4,chamberAout,,UR,4,A,control,10369048,,
2021/SC/UR5-chamberAin.csv,2021,SC,UR5,chamberAin,,UR,5,A,OTC,,,
