"Filename","Lead","Year","Type","Sample","DNLeaf","SampleDate","RunDate_text","RunDate","GCOrder"
"NatArea112renamedJuly25_08312018.qgd","NatArea112renamedJuly25",2018,"NatArea","112renamed",,"July25",8312018,2018-08-31,
"NatArea116DJul25_08302018.qgd","NatArea116DJul25",2018,"NatArea","116D",,"Jul25",8302018,2018-08-30,
"NatArea11C2July26_08312018.qgd","NatArea11C2July26",2018,"NatArea","11C2",,"July26",8312018,2018-08-31,
"NatArea120renamedJuly25_08312018.qgd","NatArea120renamedJuly25",2018,"NatArea","120renamed",,"July25",8312018,2018-08-31,
"NatArea1301renamedJuly26_08312018.qgd","NatArea1301renamedJuly26",2018,"NatArea","1301renamed",,"July26",8312018,2018-08-31,
"NatArea136DJul25_08302018.qgd","NatArea136DJul25",2018,"NatArea","136D",,"Jul25",8302018,2018-08-30,
"NatArea1402renamedJuly25_08312018.qgd","NatArea1402renamedJuly25",2018,"NatArea","1402renamed",,"July25",8312018,2018-08-31,
"NatArea20DJul25_08302018.qgd","NatArea20DJul25",2018,"NatArea","20D",,"Jul25",8302018,2018-08-30,
"NatArea219DJul25_08302018.qgd","NatArea219DJul25",2018,"NatArea","219D",,"Jul25",8302018,2018-08-30,
"NatArea320DJul25_08302018.qgd","NatArea320DJul25",2018,"NatArea","320D",,"Jul25",8302018,2018-08-30,
"NatArea370DJul25_08302018.qgd","NatArea370DJul25",2018,"NatArea","370D",,"Jul25",8302018,2018-08-30,
"NatArea394DJul25_08302018.qgd","NatArea394DJul25",2018,"NatArea","394D",,"Jul25",8302018,2018-08-30,
"NatArea69DJul25_08302018.qgd","NatArea69DJul25",2018,"NatArea","69D",,"Jul25",8302018,2018-08-30,
"NatArea69leafrenamedJuly25_08312018.qgd","NatArea69leafrenamedJuly25",2018,"NatArea","69leafrenamed",,"July25",8312018,2018-08-31,
"NatAreaA1DJul25_08302018.qgd","NatAreaA1DJul25",2018,"NatArea","A1D",,"Jul25",8302018,2018-08-30,
"NatAreaA2DJul25_08302018.qgd","NatAreaA2DJul25",2018,"NatArea","A2D",,"Jul25",8302018,2018-08-30,
"NatAreaB1DJul25_08302018.qgd","NatAreaB1DJul25",2018,"NatArea","B1D",,"Jul25",8302018,2018-08-30,
"NatAreaB2DJul25_08302018.qgd","NatAreaB2DJul25",2018,"NatArea","B2D",,"Jul25",8302018,2018-08-30,
"NatAreaC1DJul25_08302018.qgd","NatAreaC1DJul25",2018,"NatArea","C1D",,"Jul25",8302018,2018-08-30,
"NatAreaC2DJul25_08302018.qgd","NatAreaC2DJul25",2018,"NatArea","C2D",,"Jul25",8302018,2018-08-30,
"NatAreaC3DJuly25_08312018.qgd","NatAreaC3DJuly25",2018,"NatArea","C3D",,"July25",8312018,2018-08-31,
"NatAreaC3DJuly25redo_08312018.qgd","NatAreaC3DJuly25redo",2018,"NatArea","C3D",,"July25redo",8312018,2018-08-31,
"NatAreaD1DJul25_08302018.qgd","NatAreaD1DJul25",2018,"NatArea","D1D",,"Jul25",8302018,2018-08-30,
"NatAreaD2DJul25_08302018.qgd","NatAreaD2DJul25",2018,"NatArea","D2D",,"Jul25",8302018,2018-08-30,
"NatAreaD3DJul25_08302018.qgd","NatAreaD3DJul25",2018,"NatArea","D3D",,"Jul25",8302018,2018-08-30,
"NatAreaD3July26_08312018.qgd","NatAreaD3July26",2018,"NatArea","D3",,"July26",8312018,2018-08-31,
"NatAreaE1DJul25_08302018.qgd","NatAreaE1DJul25",2018,"NatArea","E1D",,"Jul25",8302018,2018-08-30,
"NatAreaE2DJul25_08302018.qgd","NatAreaE2DJul25",2018,"NatArea","E2D",,"Jul25",8302018,2018-08-30,
"NatAreaE3DJul25_08302018.qgd","NatAreaE3DJul25",2018,"NatArea","E3D",,"Jul25",8302018,2018-08-30,
"NatAreaKM0401July26_08312018.qgd","NatAreaKM0401July26",2018,"NatArea","KM0401",,"July26",8312018,2018-08-31,
"NatAreaKM10A1Jul25_08302018.qgd","NatAreaKM10A1Jul25",2018,"NatArea","KM10A1",,"Jul25",8302018,2018-08-30,
"NatAreaKM10B2renamedJuly25_08312018.qgd","NatAreaKM10B2renamedJuly25",2018,"NatArea","KM10B2renamed",,"July25",8312018,2018-08-31,
"NatAreaKM10C1Jul25_08302018.qgd","NatAreaKM10C1Jul25",2018,"NatArea","KM10C1",,"Jul25",8302018,2018-08-30,
"NatAreaKM10C2Jul25_08302018.qgd","NatAreaKM10C2Jul25",2018,"NatArea","KM10C2",,"Jul25",8302018,2018-08-30,
"NatAreaKM10D1renamedJuly25_08312018.qgd","NatAreaKM10D1renamedJuly25",2018,"NatArea","KM10D1renamed",,"July25",8312018,2018-08-31,
"NatAreaKM11101July26_08312018.qgd","NatAreaKM11101July26",2018,"NatArea","KM11101",,"July26",8312018,2018-08-31,
"NatAreaKM114renamedJuly25_08312018.qgd","NatAreaKM114renamedJuly25",2018,"NatArea","KM114renamed",,"July25",8312018,2018-08-31,
"NatAreaKM11C1renamedJuly26_08312018.qgd","NatAreaKM11C1renamedJuly26",2018,"NatArea","KM11C1renamed",,"July26",8312018,2018-08-31,
"NatAreaKM13A1July26_08312018.qgd","NatAreaKM13A1July26",2018,"NatArea","KM13A1",,"July26",8312018,2018-08-31,
"NatAreaKM13B1renamedJuly25_08312018.qgd","NatAreaKM13B1renamedJuly25",2018,"NatArea","KM13B1renamed",,"July25",8312018,2018-08-31,
"NatAreaKM13C1July26_08312018.qgd","NatAreaKM13C1July26",2018,"NatArea","KM13C1",,"July26",8312018,2018-08-31,
"NatAreaKM1401renamedJuly25_08312018.qgd","NatAreaKM1401renamedJuly25",2018,"NatArea","KM1401renamed",,"July25",8312018,2018-08-31,
"NatAreaKM14A1renamedJuly25_08312018.qgd","NatAreaKM14A1renamedJuly25",2018,"NatArea","KM14A1renamed",,"July25",8312018,2018-08-31,
"NatAreaKM14C1renamedJuly25_08312018.qgd","NatAreaKM14C1renamedJuly25",2018,"NatArea","KM14C1renamed",,"July25",8312018,2018-08-31,
"NatAreaKM4A1July26_08312018.qgd","NatAreaKM4A1July26",2018,"NatArea","KM4A1",,"July26",8312018,2018-08-31,
"NatAreaKM4B1July26_08312018.qgd","NatAreaKM4B1July26",2018,"NatArea","KM4B1",,"July26",8312018,2018-08-31,
"NatAreaX02DJul25_08302018.qgd","NatAreaX02DJul25",2018,"NatArea","X02D",,"Jul25",8302018,2018-08-30,
"NatAreaXUP01July25_08312018.qgd","NatAreaXUP01July25",2018,"NatArea","XUP01",,"July25",8312018,2018-08-31,
"T119DAug17_08312018.qgd","T119DAug17",2018,"T","119D",,"Aug17",8312018,2018-08-31,
"T119DCoolAug10_08292018.qgd","T119DCoolAug10",2018,"T","119DCool",,"Aug10",8292018,2018-08-29,
"T119NAug10_08292018.qgd","T119NAug10",2018,"T","119N",,"Aug10",8292018,2018-08-29,
"T119NAug15_09012018.qgd","T119NAug15",2018,"T","119N",,"Aug15",9012018,2018-09-01,
"T132DAug16_09012018.qgd","T132DAug16",2018,"T","132D",,"Aug16",9012018,2018-09-01,
"T132DWarmAug10_08292018.qgd","T132DWarmAug10",2018,"T","132DWarm",,"Aug10",8292018,2018-08-29,
"T132NAug10_08302018.qgd","T132NAug10",2018,"T","132N",,"Aug10",8302018,2018-08-30,
