date_collected,plot,subplot,plant,plantid,temp,VWC,per_us,wet_weight_g,dry_weight_g,trichomes_RT,leaf_area_cm2,notes,trichome_density,sla,water_content
2021-06-25,6,C,83,6C83,OTC,17.0,,0.03144,0.00986,,1.043,,0,106,69%
2021-06-25,6,C,79,6C79,OTC,10.8,,0.05442,0.01654,,1.983,,0,120,70%
2021-07-15,1,B,661,1B661,control,15.7,1.352,,,,,,,,
2021-07-15,1,B,659,1B659,control,5.2,1.179,,,,,,,,
2021-07-15,1,B,674,1B674,control,9.5,1.255,,,,,,,,
2021-07-15,1,B,669,1B669,control,,,,,,,,,,
2021-07-15,1,B,920,1B920,OTC,3.3,1.143,,,,,,,,
2021-07-15,1,C,48,1C48,control,8.5,1.237,,,,,,,,
2021-07-15,1,C,73,1C73,control,6.6,1.204,,,,,,,,
2021-07-15,1,C,71,1C71,control,,,,,,,,,,
2021-07-15,1,C,55,1C55,control,7.6,1.223,,,,,,,,
2021-07-15,1,B,919,1B919,OTC,4.8,1.172,,,,,,,,
2021-07-15,2,A,99,2A99,control,5.6,1.186,,,,,,,,
2021-07-15,2,A,176,2A176,control,8.3,1.233,,,,,,,,
2021-07-15,2,A,923,2A923,control,6.3,1.198,,,,,,,,
2021-07-15,2,A,95,2A95,control,8.5,1.237,,,,,,,,
2021-07-15,2,A,922,2A922,OTC,3.6,1.148,,,,,,,,
2021-07-15,2,B,185,2B185,OTC,2.4,1.123,,,,,,,,
2021-07-15,2,B,926,2B926,control,11.9,1.294,,,,,,,,
2021-07-15,2,B,924,2B924,control,5.9,1.192,,,,,,,,
2021-07-15,2,B,87,2B87,control,6.9,1.209,,,,,,,,
2021-07-15,2,B,925,2B925,control,9.7,1.257,,,,,,,,
2021-07-15,2,B,137,2B137,OTC,7.5,1.218,,,,,,,,
2021-07-15,2,B,196,2B196,OTC,7.3,1.217,,,,,,,,
2021-07-15,2,B,180,2B180,OTC,3.5,1.146,,,,,,,,
2021-07-15,3,B,607,3B607,control,13.5,1.318,,,,,,,,
2021-07-15,3,B,837,3B837,OTC,3.4,1.145,,,,,,,,
2021-07-15,3,B,612,3B612,control,5.8,1.191,,,,,,,,
2021-07-15,3,B,835,3B835,control,7.3,1.216,,,,,,,,
