,,,,#,(),+,0,F,F,F,C,E,B,
plot,subplot,plant,date,seeds,fruits,fruits_split,aborts,fruits_fly_no_seeds,fruits_fly_with_seeds,seeds_fly,fruits_caterpillar,fruits_early_uncountable,flowers_buds,notes
5,D,910,2021-08-02,18,2,,,,,,,,,
5,D,910,2021-08-23,,,14,30,,,,,1,8,Final
5,D,910,2021-07-26,,,16,,2,,,,,,
5,D,910,2021-08-09,,,6,,,,,3,,,
5,D,910,2021-08-16,17,5,2,5,,,,,,,
5,D,251,2021-08-23,,,,8,,,,,,8,Final; John-could you check the number for the flowers/buds? JP: confirmed
5,D,251,2021-07-26,,,1,4,1,,,,,,
5,D,251,2021-08-02,9,2,,,,,,,,,
5,D,911,2021-07-26,154,14,9,,4,,,,,,
5,D,911,2021-08-02,30,1,4,,,,,,,,
5,D,911,2021-08-09,,,2,,,,,,,,
5,D,911,2021-08-16,,,,10,,,,,,,Final
6,A,131,2021-08-02,9,2,1,,2,,,,,,
6,A,131,2021-08-23,,,,4,,,,,,,Final
6,A,131,2021-08-09,14,1,2,,,,,,,,
6,A,131,2021-08-16,42,7,2,2,,,,,,,
6,A,912,2021-08-02,30,2,,,,,,,,,
6,A,912,2021-08-23,,,5,8,,,,,1,2,Final; 7 seeds in early fruit
6,A,912,2021-07-26,9,1,1,,2,,,,,,
6,A,912,2021-08-09,,,2,,,,,,,,
6,A,912,2021-08-16,,,,8,,,,1,,,
6,C,91,2021-08-02,12,3,1,3,,,,,,,
6,C,81,2021-08-02,22,8,,,,,,,,1,
6,C,81,2021-08-09,,,13,9,,,,,1,1,Part that came off; 4 seeds in early fruit
6,C,81,2021-08-16,18,7,,9,,,,,1,,5 seeds in early fruit
6,C,78,2021-08-23,,,18,12,,,,,,2,Final
6,C,95,2021-08-23,,,5,8,,,,,,6,Final
6,C,95,2021-07-26,3,1,,,,,,,,,
6,C,95,2021-08-09,,,,,1,,,,,,
6,C,913,2021-07-26,13,2,,,2,,,,,,
6,C,913,2021-08-02,6,2,4,,4,,,,,,
6,C,913,2021-08-09,21,2,11,,1,,,,,,
6,C,913,2021-08-16,36,7,1,3,1,,,,,,
6,C,913,2021-08-23,,,7,21,,,,,,,Final
6,C,90,2021-08-16,,,,1,,,,,,,
6,C,90,2021-08-23,20,9,2,10,,,,,,5,Final
